regime,sigma_s,xi,snr_db,aber_system,aber_system_quad,ref_spread_percent,floor_fast,floor_quad,resolved,f_H_mass,E_H_numeric,E_H_analytic,A0
weak,0.1,0.789,18,2.23785922e-02,2.23563318e-02,0.099472,1.084183e-20,1.327546e-19,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,20,9.23379724e-03,9.22400556e-03,0.106042,2.499365e-19,4.290437e-20,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,22,3.18867630e-03,3.18502661e-03,0.114458,4.920007e-19,9.437759e-19,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,24,9.19495836e-04,9.18346032e-04,0.125047,0.000000e+00,4.412560e-19,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,26,2.22675349e-04,2.22367711e-04,0.138155,0.000000e+00,2.524194e-21,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,28,4.58484289e-05,4.57777532e-05,0.154151,0.000000e+00,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,30,8.16374382e-06,8.14958467e-06,0.173439,2.634541e-20,2.795243e-19,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,32,1.28200106e-06,1.27948228e-06,0.196473,5.936187e-19,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,34,1.81205725e-07,1.80800276e-07,0.223750,9.329995e-19,1.082745e-18,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,36,2.35113418e-08,2.34511942e-08,0.255824,5.217845e-19,1.340553e-18,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,38,2.85090932e-09,2.84254579e-09,0.293363,0.000000e+00,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,40,3.28133557e-10,3.27027045e-10,0.337214,3.013083e-20,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,42,3.63179082e-11,3.61769241e-11,0.388194,0.000000e+00,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,44,3.90601555e-12,3.88855817e-12,0.446936,0.000000e+00,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,46,4.11553935e-13,4.09435472e-13,0.514747,0.000000e+00,0.000000e+00,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.789,48,4.27421975e-14,4.24883820e-14,0.593829,1.460406e-19,3.918189e-19,1,1.000005,1.237801,1.237796,2.016348e-01
weak,0.1,0.992,16,7.11415535e-02,7.11347839e-02,0.009516,3.336687e-21,8.106008e-63,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,18,3.74210651e-02,3.74176738e-02,0.009063,1.786448e-73,2.610642e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,20,1.62648935e-02,1.62635069e-02,0.008525,2.322476e-18,1.955521e-105,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,22,5.65824156e-03,5.65779431e-03,0.007904,2.669929e-19,7.797351e-19,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,24,1.53622680e-03,1.53611585e-03,0.007222,2.962220e-19,7.082389e-19,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,26,3.20463180e-04,3.20442326e-04,0.006508,6.598993e-19,4.108123e-20,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,28,5.11150046e-05,5.11120514e-05,0.005778,3.941758e-19,2.384352e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,30,6.26873645e-06,6.26841939e-06,0.005058,0.000000e+00,0.000000e+00,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,32,5.99660351e-07,5.99634146e-07,0.004370,4.945162e-18,2.330652e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,34,4.56882643e-08,4.56865594e-08,0.003731,3.100920e-18,1.076777e-21,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,36,2.84295514e-09,2.84286552e-09,0.003152,1.696052e-19,4.689909e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,38,1.48437924e-10,1.48434009e-10,0.002637,3.636110e-18,1.989297e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,40,6.68220327e-12,6.68206452e-12,0.002077,1.117646e-18,0.000000e+00,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,42,2.66148590e-13,2.66148621e-13,0.000012,0.000000e+00,0.000000e+00,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,44,9.60141360e-15,9.60239915e-15,0.010265,5.659257e-19,9.142758e-20,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,46,3.24087199e-16,3.16437977e-16,2.360236,0.000000e+00,3.644451e-18,1,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,0.992,48,8.87717721e-18,9.83799137e-18,10.823420,1.158702e-18,2.708699e-19,0,1.000002,1.009569,1.009567,1.272177e-01
weak,0.1,1.548,16,1.81563480e-01,1.81533189e-01,0.016683,1.000209e-17,7.267949e-18,1,0.999993,0.589010,0.589015,5.217598e-02
weak,0.1,1.548,18,1.28839973e-01,1.28818747e-01,0.016475,1.643758e-34,4.811916e-18,1,0.999993,0.589010,0.589015,5.217598e-02
weak,0.1,1.548,20,8.05762405e-02,8.05631739e-02,0.016216,1.394742e-40,1.338697e-40,1,0.999993,0.589010,0.589015,5.217598e-02
weak,0.1,1.548,22,4.25226234e-02,4.25158706e-02,0.015880,1.284734e-53,2.422923e-50,1,0.999993,0.589010,0.589015,5.217598e-02
weak,0.1,1.548,24,1.79817644e-02,1.79789847e-02,0.015458,1.820641e-18,8.798606e-19,1,0.999993,0.589010,0.589015,5.217598e-02
weak,0.1,1.548,26,5.75710954e-03,5.75624839e-03,0.014958,1.775006e-17,6.089408e-18,1,0.999993,0.589010,0.589015,5.217598e-02
