regime,sigma_s,snr_db,xi,z,K,A0,Pe_reference,Pe_interp_free,abs_err_interp_free,rel_err_interp_free,eta_f64,ref_in_range,f64_in_range
strong,0.05,30,1.1022410551945119,0.139957,5,0.42178900921824247,1.17861003096993960e-01,1.17861003096990657e-01,3.302913e-15,2.802380e-14,4.667547e-15,1,1
strong,0.05,34,3.6462259520494626,0.990270,10,0.037612772227473466,2.20756024470500134e-01,2.20756024470499190e-01,9.436896e-16,4.274808e-15,6.600020e-16,1,1
strong,0.05,38,4.191146821615674,0.825572,10,0.02846649799286009,1.99632651965218455e-01,1.99632651965218511e-01,5.551115e-17,2.780665e-16,5.216432e-16,1,1
strong,0.05,40,3.706330581829977,0.512812,10,0.036402466282879117,1.54689721188562251e-01,1.54689721188562501e-01,2.498002e-16,1.614847e-15,3.148184e-16,1,1
strong,0.1,30,3.3216112458003644,5.210410,20,0.011329664406781122,3.92605519244484058e-01,3.92605519244343226e-01,1.408318e-13,3.587107e-13,1.526193e-14,1,1
strong,0.1,34,1.5169069331061811,0.685465,10,0.054337996000274759,2.20292260775342752e-01,2.20292260775341475e-01,1.276756e-15,5.795739e-15,2.808156e-15,1,1
strong,0.1,38,2.7315296238457414,1.402751,10,0.016753609140694691,2.65220865117779925e-01,2.65220865117777704e-01,2.220446e-15,8.372064e-15,1.086640e-15,1,1
strong,0.1,40,3.0229811882018427,1.364718,10,0.013678733850206985,2.59489963920213396e-01,2.59489963920205291e-01,8.104628e-15,3.123292e-14,1.015657e-15,1,1
strong,0.1,44,1.3687000952690986,0.176451,5,0.066751934327861362,1.09656351994529735e-01,1.09656351994529555e-01,1.804112e-16,1.645242e-15,2.169660e-16,1,1
strong,0.2,30,0.79850807534541191,1.204224,10,0.049020938740854794,3.59585411678386202e-01,3.59585411678387645e-01,1.443290e-15,4.013761e-15,1.021389e-15,1,1
strong,0.2,34,2.5516801811518577,7.760515,20,0.0047995262078925453,4.25626568296311458e-01,4.25626568291932017e-01,4.379441e-12,1.028940e-11,1.761193e-13,1,1
strong,0.2,38,3.1367231501426729,7.399305,20,0.0031761280608640211,4.19431942506947819e-01,4.19431942506495847e-01,4.519718e-13,1.077581e-12,4.859582e-14,1,1
strong,0.2,40,2.2277603652312004,2.964657,20,0.0062967217271544538,3.51289944906857110e-01,3.51289944906799434e-01,5.767609e-14,1.641837e-13,5.581799e-15,1,1
strong,0.2,44,4.0583369474063504,6.207761,20,0.0018973783758270708,4.04127753998380135e-01,4.04127753998068995e-01,3.111400e-13,7.699051e-13,2.326549e-14,1,1
strong,0.3,40,0.7418750342883943,0.739707,10,0.02523651176453658,3.31864959082222410e-01,3.31864959082222244e-01,1.665335e-16,5.018109e-16,4.339317e-16,1,1
strong,0.3,44,1.6884220709599582,2.417590,20,0.0048719891715262691,3.44564575463915723e-01,3.44564575463913059e-01,2.664535e-15,7.733050e-15,1.161177e-14,1,1
weak,0.05,34,1.1539620436914364,0.928991,10,0.38271366563008974,2.27140830390263442e-02,2.27140830390263511e-02,6.938894e-18,3.054886e-16,2.289711e-18,1,1
weak,0.05,38,2.9782350265262987,3.978443,20,0.056386140181046769,4.14897333319937250e-02,4.14897333319999007e-02,6.175616e-15,1.488468e-13,1.588977e-14,1,1
weak,0.05,40,2.2441348613706324,1.793173,10,0.099371818184537747,1.21553425131190693e-02,1.21553425131608606e-02,4.179122e-14,3.438095e-12,1.197202e-14,1,1
weak,0.05,44,1.1298026737602092,0.280944,5,0.4001888834495646,5.67474075173039598e-03,5.67474075173039511e-03,8.673617e-19,1.528461e-16,2.029430e-20,1,1
weak,0.1,38,1.2411268858177802,2.762815,20,0.08119582884977436,6.78906521576953942e-02,6.78906521576952832e-02,1.110223e-16,1.635311e-15,3.321441e-16,1,1
weak,0.2,40,0.77979432027937856,3.466540,20,0.051403103636461327,1.93131525347735200e-01,1.93131525347735061e-01,1.387779e-16,7.185667e-16,3.211797e-16,1,1
moderate,0.05,34,3.5085696760068616,2.188035,20,0.040622927480743712,1.71425971698607960e-01,1.71425971698606378e-01,1.582068e-15,9.228869e-15,8.214425e-16,1,1
moderate,0.05,38,2.9824330800972332,0.997418,10,0.056227424239975045,9.36506046862543018e-02,9.36506046862541630e-02,1.387779e-16,1.481868e-15,1.375996e-16,1,1
moderate,0.05,40,1.9622912815214308,0.342523,5,0.13005770562692823,3.83207531379762684e-02,3.83207531379763100e-02,4.163336e-17,1.086444e-15,2.450235e-17,1,1
moderate,0.05,44,1.6411737098624288,0.150886,5,0.18628482207231259,1.81054028085265058e-02,1.81054028085265023e-02,3.469447e-18,1.916250e-16,1.138180e-17,1,1
moderate,0.1,34,1.5411486718619456,1.688497,10,0.052641151265241611,1.82561200142988628e-01,1.82561200143013025e-01,2.439715e-14,1.336382e-13,6.514278e-15,1,1
