regime,sigma_s,xi,snr_db,K,A0,z,admissible,max_abs_ak,eta_f64,first_omitted,Pe_series
weak,0.05,1.967,32,10,1.294337e-01,3.4581,0,1.172582e+02,2.603656e-14,1.913558e-06,4.418011e-02
weak,0.05,1.967,32,20,1.294337e-01,3.4581,1,1.172582e+02,2.603656e-14,1.339565e-20,4.418208e-02
weak,0.05,1.967,34,5,1.294337e-01,2.7469,0,4.668134e+01,1.036534e-14,2.822483e-02,1.084018e-03
weak,0.05,1.967,34,10,1.294337e-01,2.7469,0,4.668134e+01,1.036534e-14,7.618011e-08,3.059686e-02
weak,0.05,1.967,34,20,1.294337e-01,2.7469,1,4.668134e+01,1.036534e-14,5.332902e-23,3.059694e-02
weak,0.05,1.967,36,5,1.294337e-01,2.1819,0,1.858418e+01,4.126516e-15,3.553296e-03,1.692210e-02
weak,0.05,1.967,36,10,1.294337e-01,2.1819,0,1.858418e+01,4.126516e-15,3.032785e-09,2.061106e-02
weak,0.05,1.967,36,20,1.294337e-01,2.1819,1,1.858418e+01,4.126516e-15,2.123067e-25,2.061106e-02
weak,0.05,1.967,38,5,1.294337e-01,1.7332,0,7.398494e+00,1.642796e-15,4.473334e-04,1.306332e-02
weak,0.05,1.967,38,10,1.294337e-01,1.7332,1,7.398494e+00,1.642796e-15,1.207373e-10,1.352490e-02
weak,0.05,1.967,38,20,1.294337e-01,1.7332,1,7.398494e+00,1.642796e-15,8.452081e-28,1.352490e-02
weak,0.05,1.967,40,5,1.294337e-01,1.3767,0,2.945393e+00,6.540087e-16,5.631594e-05,8.600895e-03
weak,0.05,1.967,40,10,1.294337e-01,1.3767,1,2.945393e+00,6.540087e-16,4.806640e-12,8.658701e-03
weak,0.05,1.967,40,20,1.294337e-01,1.3767,1,2.945393e+00,6.540087e-16,3.364834e-30,8.658701e-03
weak,0.05,1.967,42,5,1.294337e-01,1.0935,0,1.172582e+00,2.603656e-16,7.089757e-06,5.409756e-03
weak,0.05,1.967,42,10,1.294337e-01,1.0935,1,1.172582e+00,2.603656e-16,1.913558e-13,5.417002e-03
weak,0.05,1.967,42,20,1.294337e-01,1.0935,1,1.172582e+00,2.603656e-16,1.339565e-32,5.417002e-03
weak,0.05,1.967,44,5,1.294337e-01,0.8686,0,4.668134e-01,1.036534e-16,8.925475e-07,3.316224e-03
weak,0.05,1.967,44,10,1.294337e-01,0.8686,1,4.668134e-01,1.036534e-16,7.618011e-15,3.317133e-03
weak,0.05,1.967,44,20,1.294337e-01,0.8686,1,4.668134e-01,1.036534e-16,5.332902e-35,3.317133e-03
weak,0.05,1.967,46,5,1.294337e-01,0.6900,0,1.858418e-01,4.126516e-17,1.123651e-07,1.991327e-03
weak,0.05,1.967,46,10,1.294337e-01,0.6900,1,1.858418e-01,4.126516e-17,3.032785e-16,1.991441e-03
weak,0.05,1.967,46,20,1.294337e-01,0.6900,1,1.858418e-01,4.126516e-17,2.123067e-37,1.991441e-03
weak,0.05,1.967,48,5,1.294337e-01,0.5481,0,7.398494e-02,1.642796e-17,1.414592e-08,1.173957e-03
weak,0.05,1.967,48,10,1.294337e-01,0.5481,1,7.398494e-02,1.642796e-17,1.207373e-17,1.173971e-03
weak,0.05,1.967,48,20,1.294337e-01,0.5481,1,7.398494e-02,1.642796e-17,8.452081e-40,1.173971e-03
weak,0.05,1.967,50,5,1.294337e-01,0.4353,1,2.945393e-02,6.540087e-18,1.780866e-09,6.805962e-04
weak,0.05,1.967,50,10,1.294337e-01,0.4353,1,2.945393e-02,6.540087e-18,4.806640e-19,6.805980e-04
weak,0.05,1.967,50,20,1.294337e-01,0.4353,1,2.945393e-02,6.540087e-18,3.364834e-42,6.805980e-04
weak,0.05,2.511,20,5,7.934519e-02,22.4577,0,5.384973e+07,1.195704e-08,1.429257e+07,-1.683330e+07
